weeknr,week,lec,leclink,lab,lablink
2,pre-requisite,Course Intro,https://uoepsy.github.io/msmr/2526/intro/lecture00.html#/title-slide,Install or update R/Rstudio,https://edin.ac/3B0oi5A
,,,,Extra Exercises: Regression Refresher,https://uoepsy.github.io/msmr/2526/labs/00ex.html
2.01,Sem 2 Week 1,Introduction to Multilevel Modelling,https://uoepsy.github.io/msmr/2526/lectures/msmr_lec01_IntroMLM.html,Chapter 1: Group Structured Data,https://uoepsy.github.io/lmm/01_clustered.html
,,,,Chapter 2: The Multi-Level/Mixed-Effects Model,https://uoepsy.github.io/lmm/02_lmm.html
,,,,Week 1 Exercises: Intro to MLM,https://uoepsy.github.io/msmr/2526/labs/01ex.html
2.02,Sem 2 Week 2,Logistic MLM,https://uoepsy.github.io/msmr/2526/lectures/msmr_lec02-1_LogisticMLM.html,(Optional) Chapter 3: Inference for MLM,https://uoepsy.github.io/lmm/03_inference.html
,,Longitudinal Data Analysis using MLM,https://uoepsy.github.io/msmr/2526/lectures/msmr_lec02-2_LinearLDA.html,Chapter 4: Example Logistic MLM,https://uoepsy.github.io/lmm/04_log.html
,,,,Chapter 5: Example Longitudinal MLM,https://uoepsy.github.io/lmm/05_long.html
,,,,Week 2 Exercises: Logistic & Longitudinal MLM,https://uoepsy.github.io/msmr/2526/labs/02ex.html
2.03,Sem 2 Week 3,Longitudinal Data Analysis using Multilevel Modeling - Nonlinear Change,,,
2.04,Sem 2 Week 4,Other Random Effects,,,
2.05,Sem 2 Week 5,Individual Differences,,,
2.06,Flexible Learning Week,,,,
2.07,Sem 2 Week 7,PCA and EFA,,,
2.08,Sem 2 Week 8,CFA,,,
2.09,Sem 2 Week 9,Path Analysis & Mediation,,,
2.1,Sem 2 Week 10,SEM I,,,
2.11,Sem 2 Week 11,SEM II,,,
